NAME,total_pop,median_income,pov_universe,pov_below,hh_total,hh_no_vehicle,state,county,tract,geoid
"Census Tract 7317, Worcester County, Massachusetts",3087,34495.0,2887,872,1643,615,25,027,731700,25027731700
"Census Tract 7322.01, Worcester County, Massachusetts",2665,51970.0,2665,581,1386,188,25,027,732201,25027732201
"Census Tract 7401.01, Worcester County, Massachusetts",6122,143080.0,6032,133,2097,33,25,027,740101,25027740101
"Census Tract 7441.02, Worcester County, Massachusetts",5293,97364.0,5257,634,1950,96,25,027,744102,25027744102
"Census Tract 7531, Worcester County, Massachusetts",8056,93019.0,8048,736,2882,63,25,027,753100,25027753100
"Census Tract 7561.02, Worcester County, Massachusetts",8851,108299.0,8837,458,3087,44,25,027,756102,25027756102
"Census Tract 7573, Worcester County, Massachusetts",2651,34947.0,2603,681,1102,368,25,027,757300,25027757300
"Census Tract 7121.02, Worcester County, Massachusetts",4573,112796.0,4518,244,1569,26,25,027,712102,25027712102
"Census Tract 7201, Worcester County, Massachusetts",3455,136083.0,3455,165,1271,57,25,027,720100,25027720100
"Census Tract 7291, Worcester County, Massachusetts",5646,88906.0,3359,219,1397,97,25,027,729100,25027729100
"Census Tract 7102, Worcester County, Massachusetts",6465,73007.0,6465,251,2726,262,25,027,710200,25027710200
"Census Tract 7105, Worcester County, Massachusetts",3190,44526.0,3143,726,1317,200,25,027,710500,25027710500
"Census Tract 7330, Worcester County, Massachusetts",3489,37853.0,3430,892,1243,218,25,027,733000,25027733000
"Census Tract 7308.01, Worcester County, Massachusetts",3623,97083.0,3557,218,1477,96,25,027,730801,25027730801
"Census Tract 7311.01, Worcester County, Massachusetts",4053,42056.0,4032,1237,1596,216,25,027,731101,25027731101
"Census Tract 7394, Worcester County, Massachusetts",8947,109583.0,8810,171,3179,140,25,027,739400,25027739400
"Census Tract 7061, Worcester County, Massachusetts",4708,91734.0,4708,292,1697,57,25,027,706100,25027706100
"Census Tract 7103, Worcester County, Massachusetts",2902,70913.0,2829,238,1157,19,25,027,710300,25027710300
"Census Tract 7091, Worcester County, Massachusetts",4064,82306.0,4048,370,1485,84,25,027,709100,25027709100
"Census Tract 7092.02, Worcester County, Massachusetts",6944,49167.0,6931,1157,2942,236,25,027,709202,25027709202
"Census Tract 7097.02, Worcester County, Massachusetts",2496,60481.0,2496,311,1019,163,25,027,709702,25027709702
"Census Tract 7162, Worcester County, Massachusetts",2623,56071.0,2603,325,1094,107,25,027,716200,25027716200
"Census Tract 7163, Worcester County, Massachusetts",3584,54872.0,3584,361,1557,148,25,027,716300,25027716300
"Census Tract 7262, Worcester County, Massachusetts",5792,59331.0,5792,707,2481,503,25,027,726200,25027726200
"Census Tract 7281, Worcester County, Massachusetts",5138,116544.0,5123,334,1833,57,25,027,728100,25027728100
"Census Tract 7292, Worcester County, Massachusetts",2320,88906.0,2312,319,939,36,25,027,729200,25027729200
"Census Tract 7301, Worcester County, Massachusetts",6195,75548.0,6195,452,2551,135,25,027,730100,25027730100
"Census Tract 7307, Worcester County, Massachusetts",6581,70735.0,6452,455,2778,188,25,027,730700,25027730700
"Census Tract 7442, Worcester County, Massachusetts",7189,80536.0,7000,493,2950,241,25,027,744200,25027744200
"Census Tract 7097.01, Worcester County, Massachusetts",5282,60391.0,5162,830,2279,286,25,027,709701,25027709701
"Census Tract 7351, Worcester County, Massachusetts",6768,84375.0,6376,501,2503,98,25,027,735100,25027735100
"Census Tract 7543, Worcester County, Massachusetts",3380,36650.0,3302,425,1348,301,25,027,754300,25027754300
"Census Tract 7308.02, Worcester County, Massachusetts",2016,80298.0,1957,362,788,47,25,027,730802,25027730802
"Census Tract 7171, Worcester County, Massachusetts",3182,99297.0,3156,134,1179,30,25,027,717100,25027717100
"Census Tract 7326, Worcester County, Massachusetts",3403,40303.0,3375,705,1850,419,25,027,732600,25027732600
"Census Tract 7241, Worcester County, Massachusetts",3728,70255.0,3565,150,1510,111,25,027,724100,25027724100
"Census Tract 7304.01, Worcester County, Massachusetts",5201,40061.0,5029,1033,2428,527,25,027,730401,25027730401
"Census Tract 7320.02, Worcester County, Massachusetts",4522,62917.0,3941,306,1680,213,25,027,732002,25027732002
"Census Tract 7441.01, Worcester County, Massachusetts",7789,96429.0,7789,495,2974,159,25,027,744101,25027744101
"Census Tract 7591, Worcester County, Massachusetts",2040,82946.0,2002,112,795,29,25,027,759100,25027759100
"Census Tract 7072, Worcester County, Massachusetts",2144,32746.0,2132,671,975,228,25,027,707200,25027707200
"Census Tract 7304.02, Worcester County, Massachusetts",2203,54661.0,2173,416,681,54,25,027,730402,25027730402
"Census Tract 7391, Worcester County, Massachusetts",9896,107474.0,9896,577,3457,85,25,027,739100,25027739100
"Census Tract 7322.03, Worcester County, Massachusetts",3470,56944.0,3323,589,1178,95,25,027,732203,25027732203
"Census Tract 7401.02, Worcester County, Massachusetts",5683,126250.0,5683,119,2063,64,25,027,740102,25027740102
"Census Tract 7491, Worcester County, Massachusetts",7824,123682.0,7784,236,2719,56,25,027,749100,25027749100
"Census Tract 7532, Worcester County, Massachusetts",5918,63500.0,5822,450,2318,75,25,027,753200,25027753200
"Census Tract 7552, Worcester County, Massachusetts",8372,79848.0,7201,248,2528,142,25,027,755200,25027755200
"Census Tract 7572, Worcester County, Massachusetts",2322,29583.0,2322,807,932,217,25,027,757200,25027757200
"Census Tract 7031, Worcester County, Massachusetts",4343,54156.0,4201,698,1747,180,25,027,703100,25027703100
"Census Tract 7032, Worcester County, Massachusetts",3729,62016.0,3729,566,1396,93,25,027,703200,25027703200
"Census Tract 7051, Worcester County, Massachusetts",8130,77031.0,8040,351,3317,78,25,027,705100,25027705100
